mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,variance,stddv_h,stddv_s,stddv_v,kurtosis,skewness,Chl Value
197.4784705,203.1922128,191.7906582,55.23582208,42.42284834,68.47975246,3201.722811,39.82396965,65.01645188,42.536723,2.693144143,-2.003427819,42.9
157.7046556,161.8707305,154.1376812,52.77925747,44.96030663,61.54411719,2874.905799,45.79896958,72.5098489,45.35086932,1.41727531,-1.547379742,44.6
168.6503693,172.254505,162.2918228,55.13625834,46.9134449,64.70527438,3159.51427,50.38378449,72.45530824,47.20754502,1.618313985,-1.658599952,44.9
153.0397751,155.9672249,148.8765677,53.01672125,45.47523838,61.83967238,2909.436115,65.19575363,76.50212444,46.15073417,1.320429936,-1.581515955,45.3
186.5574928,190.859075,182.1662408,59.81663548,50.34025607,70.45705837,3704.717453,51.36439342,70.52311943,50.7262179,2.146370073,-1.901518324,45.2
172.5650659,178.31491,166.2011746,69.04526543,57.18419144,80.39572206,4858.062229,58.1156334,81.87748573,57.79079691,0.138585811,-1.380028457,43
184.1552855,190.6696406,176.4048903,68.52283619,55.05524735,81.6130409,4829.714656,56.70091941,77.13473755,55.59828217,0.308305525,-1.428101385,43.5
188.5226227,198.1301651,177.9875426,63.49127341,45.22595283,82.4988898,4361.867145,58.67191525,82.27633001,45.81601319,0.721992908,-1.485390844,41.3
186.0532557,194.7473448,177.139563,64.14437404,47.49780341,80.69772634,4345.896705,58.09044244,79.07281001,48.05298925,0.599916038,-1.475026443,43.4
171.0074297,176.4387438,165.0847869,68.58335232,57.02117577,79.69251796,4790.161508,61.46816995,80.03299719,57.90148553,0.091388744,-1.348023762,43
171.4818459,178.5001653,158.4953729,62.05217605,47.18692759,82.86695935,4383.347992,49.65066757,94.86769596,48.17523658,0.405179765,-1.385060799,35.4
160.9449681,168.0521307,151.0193805,60.45415707,47.38369538,78.47715847,4068.321769,62.13790896,93.19063054,48.31483566,0.209505636,-1.29772719,41.1
146.9440239,152.9312918,139.2175865,61.30568392,50.22665522,76.11909809,4056.585948,59.80762263,100.9527813,50.98960601,-0.015058963,-1.283876653,35.8
176.4422054,184.5406382,165.0045233,61.01765993,46.91489099,79.85687217,4164.656726,55.30700464,83.1775541,47.41281792,0.30791233,-1.340990724,38.1
